State,Hispanic (of any race),Non-Hispanic White,Non-Hispanic Black,Non-Hispanic Asian,Non-Hispanic American Indian
Alabama,4.10%,65.50%,26.70%,1.30%,0.50%
Alaska,7.00%,60.60%,2.90%,6.60%,14.20%
Arizona,31.40%,54.70%,4.10%,3.20%,3.90%
Arkansas,7.40%,72.30%,15.20%,1.60%,0.60%
California,39.10%,37.00%,5.50%,14.40%,0.40%
Colorado,21.50%,68.20%,3.90%,3.10%,0.60%
Connecticut,16.10%,66.70%,9.90%,4.50%,0.20%
Delaware,9.30%,62.20%,21.50%,4.00%,0.20%
District of Columbia,11.00%,36.50%,45.30%,4.00%,0.20%
Florida,25.60%,53.80%,15.40%,2.80%,0.20%
Georgia,9.60%,52.60%,31.10%,3.90%,0.20%
Hawaii,10.50%,21.80%,1.60%,37.30%,0.10%
Idaho,12.40%,82.00%,0.60%,1.30%,1.10%
Illinois,17.20%,61.20%,14.00%,5.40%,0.10%
Indiana,6.90%,79.20%,9.20%,2.20%,0.10%
Iowa,5.90%,85.90%,3.30%,2.60%,0.20%
Kansas,11.90%,75.90%,5.50%,2.90%,0.60%
Kentucky,3.50%,84.60%,8.00%,1.40%,0.20%
Louisiana,5.20%,58.50%,32.10%,1.80%,0.50%
Maine,1.60%,93.40%,1.20%,1.10%,0.60%
Maryland,10.10%,50.70%,29.40%,6.40%,0.20%
Massachusetts,11.80%,71.50%,7.00%,6.60%,0.10%
Michigan,5.10%,75.00%,13.60%,3.10%,0.50%
Minnesota,5.30%,79.90%,6.40%,4.90%,1.00%
Mississippi,2.90%,56.60%,37.90%,0.90%,0.40%
Missouri,4.20%,79.40%,11.40%,2.00%,0.30%
Montana,3.70%,86.30%,0.40%,0.70%,5.90%
Nebraska,10.90%,79.00%,4.50%,2.40%,0.70%
Nevada,28.80%,48.80%,8.90%,8.30%,0.90%
New Hampshire,3.80%,90.30%,1.30%,2.70%,0.10%
New Jersey,20.40%,54.80%,12.80%,9.80%,0.10%
New Mexico,48.80%,37.40%,1.80%,1.30%,8.80%
New York,19.20%,55.10%,14.30%,8.70%,0.20%
North Carolina,9.40%,63.00%,21.20%,2.90%,1.10%
North Dakota,3.50%,84.40%,3.00%,1.70%,5.40%
Ohio,3.70%,78.90%,12.20%,2.20%,0.20%
Oklahoma,10.60%,65.60%,7.20%,2.10%,7.30%
Oregon,13.10%,75.60%,1.80%,4.30%,0.90%
Pennsylvania,7.30%,76.40%,10.70%,3.50%,0.10%
Rhode Island,15.40%,72.10%,5.40%,3.60%,0.30%
South Carolina,5.70%,63.60%,26.80%,1.50%,0.20%
South Dakota,3.60%,82.30%,1.90%,1.20%,8.60%
Tennessee,5.40%,73.90%,16.60%,1.80%,0.20%
Texas,39.40%,41.90%,11.80%,4.80%,0.30%
Utah,14.00%,78.30%,1.20%,2.40%,1.00%
Vermont,1.90%,92.80%,1.20%,1.80%,0.30%
Virginia,9.30%,61.70%,18.80%,6.40%,0.20%
Washington,12.70%,68.60%,3.50%,8.50%,1.00%
West Virginia,1.30%,92.00%,3.90%,0.80%,0.10%
Wisconsin,6.90%,81.20%,6.30%,2.70%,0.80%
Wyoming,10.00%,84.00%,0.90%,0.80%,2.10%
