time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-23T15:22:37.770Z,38.8235016,-122.8089981,2.75,0.55,md,10,92,0.0008471,0.01,nc,nc73486221,2020-11-23T15:24:15.913Z,"7km NW of The Geysers, CA",earthquake,0.38,1.05,,1,automatic,nc,nc
2020-11-23T15:13:19.000Z,17.9498,-66.931,11,2.13,md,7,212,0.0576,0.17,pr,pr2020328009,2020-11-23T15:26:39.787Z,"3 km SW of GuÃ¡nica, Puerto Rico",earthquake,0.74,0.87,0.19,5,reviewed,pr,pr
2020-11-23T15:11:43.540Z,32.7488333,-115.814,5.37,1.74,ml,19,65,0.1237,0.23,ci,ci39474855,2020-11-23T15:15:21.325Z,"17km E of Ocotillo, CA",earthquake,0.41,1.11,0.159,29,automatic,ci,ci
2020-11-23T15:05:16.635Z,36.46429062,-98.16460419,7.575525284,1.87,ml,14,90.61791039,0.151549369,0.503176271,ok,ok2020xapj,2020-11-23T15:07:38.952Z,"7 km S of Goltry, Oklahoma",earthquake,3.18262815,5.071295929,,10,automatic,ok,ok
2020-11-23T14:36:51.380Z,33.4081667,-116.9608333,8.06,0.53,ml,14,109,0.06237,0.21,ci,ci39474823,2020-11-23T14:40:41.120Z,"10km WSW of Aguanga, CA",earthquake,0.49,1.22,0.115,14,automatic,ci,ci
2020-11-23T14:11:33.890Z,38.8041649,-122.7716675,1.51,0.55,md,7,107,0.009988,0.01,nc,nc73486211,2020-11-23T14:26:05.606Z,"3km NNW of The Geysers, CA",earthquake,0.49,1.01,,1,automatic,nc,nc
2020-11-23T14:10:06.120Z,36.35616667,-97.35216667,7.52,1.9,ml,89,35,0,0.22,ok,ok2020xann,2020-11-23T14:25:15.589Z,"9 km NW of Perry, Oklahoma",earthquake,,0.6,0.23,40,reviewed,ok,ok
2020-11-23T14:08:51.270Z,38.1733,-117.8377,8.4,2.1,ml,21,65.89,0.04,0.12,nn,nn00785899,2020-11-23T14:58:26.129Z,"33 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-11-23T13:53:14.100Z,38.1937,-117.758,11,1.1,ml,16,87.68,0.059,0.07,nn,nn00785896,2020-11-23T14:10:02.892Z,"37 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-11-23T13:49:18.799Z,36.9124,-104.8953,5,2.7,ml,,62,0.112,0.37,us,us6000crm4,2020-11-23T14:39:07.040Z,"24 km S of Weston, Colorado",earthquake,4.9,2,0.043,70,reviewed,us,us
2020-11-23T13:44:32.440Z,38.831501,-122.8195038,1.72,0.8,md,22,51,0.01094,0.02,nc,nc73486201,2020-11-23T13:46:11.113Z,"8km NW of The Geysers, CA",earthquake,0.2,0.44,0.09,3,automatic,nc,nc
2020-11-23T13:42:23.430Z,33.5048333,-116.4461667,2.84,0.53,ml,18,73,0.08821,0.14,ci,ci39474791,2020-11-23T14:28:29.514Z,"22km SW of La Quinta, CA",earthquake,0.24,1.78,0.11,13,reviewed,ci,ci
2020-11-23T13:41:37.595Z,60.1763,-152.9791,134.5,2.5,ml,,,,0.74,ak,ak020f2o9c3j,2020-11-23T14:24:39.860Z,"73 km WNW of Happy Valley, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-23T13:40:42.160Z,38.7481651,-122.7051697,1.79,1.47,md,20,136,0.02042,0.04,nc,nc73486196,2020-11-23T14:12:06.529Z,"3km SSW of Anderson Springs, CA",earthquake,0.3,0.37,0.1,9,automatic,nc,nc
2020-11-23T13:39:51.720Z,38.7480011,-122.7036667,1.67,1.29,md,10,137,0.02044,0.04,nc,nc73486191,2020-11-23T14:02:04.482Z,"3km SSW of Anderson Springs, CA",earthquake,0.37,0.54,0.1,5,automatic,nc,nc
2020-11-23T13:32:22.750Z,41.2943333,-112.7251667,5.96,0.96,md,16,158,0.2084,0.09,uu,uu60419422,2020-11-23T15:07:15.140Z,"52 km WNW of Hooper, Utah",earthquake,0.41,2.09,0.225,13,reviewed,uu,uu
